EV,Waiting_time,Charging_time,Total,Reward
0,0,1.1575000000000002,1.1575000000000002,-1.1575000000000002
1,0,1.5274999999999999,1.5274999999999999,-1.5274999999999999
2,0,1.5,1.5,-1.5
3,0,1.7892499999999996,1.7892499999999996,-1.7892499999999996
4,0,1.3175,1.3175,-1.3175
5,0,1.4699999999999998,1.4699999999999998,-1.4699999999999998
6,0,1.1974999999999998,1.1974999999999998,-1.1974999999999998
7,0,1.43,1.43,-1.43
8,0,1.9806666666666666,1.9806666666666666,-1.9806666666666666
9,0,1.365,1.365,-1.365
10,0,1.4025,1.4025,-1.4025
11,0,0.9749999999999999,0.9749999999999999,-0.9749999999999999
12,0,1.5475,1.5475,-1.5475
13,0,1.3940000000000001,1.3940000000000001,-1.3940000000000001
14,0.017499999999999807,1.4050000000000002,1.4225,-1.4225
15,0,1.1500000000000001,1.1500000000000001,-1.1500000000000001
16,0,1.4124999999999996,1.4124999999999996,-1.4124999999999996
17,0,1.84,1.84,-1.84
18,0,1.105,1.105,-1.105
19,0.11999999999999987,1.5225,1.6424999999999998,-1.6424999999999998
