EV,Waiting_time,Charging_time,Total,Reward
0,0,1.3249999999999997,1.3249999999999997,-1.3249999999999997
1,0,1.84,1.84,-1.84
2,0,1.71,1.71,-1.71
3,0,1.9859166666666668,1.9859166666666668,-1.9859166666666668
4,0.32499999999999907,2.1075,2.432499999999999,-2.432499999999999
5,0,2.1646250000000005,2.1646250000000005,-2.1646250000000005
6,0,1.93,1.93,-1.93
7,0,1.7675,1.7675,-1.7675
8,0,1.7942500000000008,1.7942500000000008,-1.7942500000000008
9,0,1.095,1.095,-1.095
10,0,1.595,1.595,-1.595
11,0,1.015,1.015,-1.015
12,0,1.3125000000000002,1.3125000000000002,-1.3125000000000002
13,0,1.9769166666666669,1.9769166666666669,-1.9769166666666669
14,0,1.8510000000000004,1.8510000000000004,-1.8510000000000004
15,0.31000000000000016,1.1574999999999998,1.4675,-1.4675
16,0.4299999999999994,0.8674999999999999,1.2974999999999994,-1.2974999999999994
17,1.0074999999999996,1.8289166666666667,2.8364166666666666,-2.8364166666666666
18,0.7149999999999996,1.3375000000000001,2.0524999999999998,-2.0524999999999998
19,0.6274999999999995,1.1925,1.8199999999999994,-1.8199999999999994
