time,distance,position,state,act_mode,SOC,action
0.05,0,0,0,0,0.89,-1
0.1,5.0,1,0,0,0.8465,-1
0.15,10.0,1,0,0,0.8465,-1
0.2,15.0,1,0,0,0.8465,-1
0.25,20.0,2,0,0,0.8465,-1
0.3,25.0,3,0,0,0.74,-1
0.35,30.0,3,0,0,0.74,-1
0.4,35.0,3,0,0,0.74,-1
0.45,40.0,3,0,0,0.74,-1
0.5,45.0,3,0,0,0.74,-1
0.55,50.0,3,0,0,0.74,-1
0.6,55.0,3,0,0,0.74,-1
0.65,60.0,3,0,0,0.74,-1
0.7,65.0,4,0,0,0.74,-1
0.75,70.0,5,0,0,0.661,-1
0.8,75.0,5,0,0,0.661,-1
0.85,80.0,5,0,0,0.661,-1
0.9,85.0,5,0,0,0.661,-1
0.95,90.0,5,0,0,0.661,-1
1.0,95.0,5,0,0,0.661,-1
1.05,100.0,6,0,0,0.661,-1
1.1,105.0,7,0,0,0.56575,-1
1.15,110.0,7,0,0,0.56575,-1
1.2,115.0,7,0,0,0.56575,-1
1.25,120.0,7,0,0,0.56575,-1
1.3,125.0,7,0,0,0.56575,-1
1.35,130.0,7,0,0,0.56575,-1
1.4,135.0,7,0,0,0.56575,-1
1.45,140.0,8,0,0,0.56575,-1
1.5,145.0,9,0,0,0.4475,-1
1.55,150.0,9,0,0,0.4475,-1
1.6,155.0,9,0,0,0.4475,-1
1.65,160.0,9,0,0,0.4475,-1
1.7,165.0,9,0,0,0.4475,-1
1.75,170.0,9,0,0,0.4475,-1
1.8,175.0,9,0,0,0.4475,-1
1.85,180.0,9,0,0,0.4475,-1
1.9,185.0,9,0,0,0.4475,-1
1.95,190.0,10,0,0,0.4475,-1
2.0,195.0,11,0,0,0.318,-1
2.05,200.0,11,0,0,0.318,-1
2.1,205.0,11,0,0,0.318,-1
2.15,210.0,11,0,0,0.318,-1
2.2,215.0,11,0,0,0.318,-1
2.25,220.0,11,0,0,0.318,-1
2.3,225.0,11,0,0,0.318,-1
2.35,230.0,11,0,0,0.318,-1
2.4,235.0,11,0,0,0.318,-1
2.45,240.0,11,0,0,0.318,-1
2.5,245.0,12,0,0,0.318,-1
2.55,250.0,13,0,0,0.1995,-1
2.6,255.0,13,0,0,0.1995,-1
2.65,260.0,13,0,0,0.1995,-1
2.7,265.0,13,0,0,0.1995,-1
2.75,270.0,13,0,0,0.1995,-1
2.8,275.0,13,0,0,0.1995,-1
2.85,280.0,13,0,0,0.1995,-1
2.9,285.0,13,0,0,0.1995,-1
2.95,290.0,13,0,0,0.1995,-1
3.0,295.0,14,0,0,0.1995,-1
3.05,300.0,15,0,0,0.064,-1
3.1,305.0,15,0,0,0.064,-1
3.15,310.0,15,0,0,0.064,-1
3.2,315.0,15,0,0,0.064,-1
3.25,320.0,15,0,0,0.064,-1
3.3,325.0,15,0,0,0.064,-1
3.35,330.0,15,0,0,0.064,-1
3.4,335.0,15,0,0,0.064,-1
3.45,340.0,15,0,0,0.064,-1
3.5,345.0,15,0,0,0.064,-1
3.55,350.0,16,0,0,0.064,-1
3.6,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.65,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.7,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.75,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.8,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.85,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.9,350.0,16,2,8,0.4827499999999997,0.5174999999999997
3.95,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.0,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.05,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.1,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.15,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.2,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.25,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.3,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.35,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.4,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.45,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.5,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.55,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.6,350.0,16,2,8,0.4827499999999997,0.5174999999999997
4.65,350.0,16,2,8,0.4827499999999997,0.5174999999999997
