CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_9,CS_10,CS_11,EV
0.043,0.0,0.0,0.281,0.0,0.192,0.0,0.0,0.408,0.038,0.09,0.068,0
0.0,0.0,0.0,0.434,0.118,0.0,0.248,0.135,0.099,0.0,0.128,0.068,1
0.224,0.107,0.079,0.095,0.0,0.248,0.0,0.254,0.099,0.038,0.09,0.0,2
0.214,0.107,0.079,0.095,0.112,0.136,0.119,0.0,0.162,0.11,0.09,0.068,3
0.143,0.107,0.079,0.095,0.118,0.0,0.0,0.138,0.135,0.248,0.09,0.068,4
0.194,0.0,0.186,0.095,0.118,0.0,0.214,0.0,0.268,0.0,0.128,0.068,5
0.0,0.0,0.339,0.095,0.0,0.248,0.119,0.135,0.099,0.0,0.128,0.068,6
0.0,0.35,0.079,0.095,0.118,0.129,0.119,0.135,0.099,0.038,0.09,0.0,7
0.123,0.107,0.079,0.095,0.118,0.129,0.0,0.254,0.099,0.038,0.0,0.0,8
0.053,0.0,0.186,0.095,0.118,0.129,0.119,0.135,0.099,0.038,0.09,0.068,9
0.174,0.0,0.0,0.281,0.118,0.129,0.119,0.135,0.099,0.038,0.0,0.158,10
0.104,0.107,0.079,0.095,0.118,0.129,0.119,0.135,0.0,0.137,0.09,0.068,11
0.113,0.107,0.079,0.095,0.118,0.129,0.119,0.135,0.099,0.038,0.09,0.068,12
0.204,0.107,0.079,0.095,0.118,0.129,0.119,0.135,0.099,0.038,0.0,0.0,13
0.184,0.0,0.186,0.095,0.118,0.129,0.119,0.135,0.099,0.038,0.0,0.0,14
0.133,0.107,0.0,0.174,0.118,0.129,0.119,0.135,0.0,0.137,0.09,0.068,15
0.043,0.0,0.186,0.095,0.118,0.129,0.119,0.135,0.0,0.137,0.09,0.068,16
0.154,0.0,0.235,0.0,0.178,0.165,0.119,0.0,0.234,0.038,0.09,0.068,17
0.0,0.22,0.079,0.095,0.118,0.129,0.0,0.254,0.099,0.038,0.09,0.068,18
0.153,0.107,0.079,0.0,0.0,0.343,0.0,0.0,0.177,0.214,0.09,0.068,19
