CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_9,CS_10,CS_11,EV
0.0,0.0,0.0,0.0,0.0,0.22,0.198,0.0,0.0,0.0,0.0,0.0,0
0.0,0.143,0.0,0.0,0.0,0.223,0.0,0.171,0.0,0.0,0.0,0.0,1
0.219,0.0,0.113,0.0,0.145,0.0,0.115,0.173,0.0,0.0,0.0,0.0,2
0.163,0.126,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.886,3
0.143,0.0,0.0,0.0,0.0,0.145,0.131,0.261,0.0,0.0,0.0,0.0,4
0.142,0.0,0.0,0.108,0.232,0.216,0.142,0.0,0.0,0.0,0.0,0.0,5
0.131,0.129,0.0,0.0,0.0,0.148,0.0,0.244,0.0,0.0,0.0,0.0,6
0.243,0.0,0.0,0.0,0.0,0.0,0.117,0.134,0.0,0.0,0.0,0.116,7
0.0,0.0,0.0,0.0,0.132,0.196,0.0,0.0,0.0,0.0,0.0,0.158,8
0.0,0.0,0.0,0.0,0.115,0.242,0.0,0.0,0.144,0.0,0.186,0.0,9
0.157,0.0,0.0,0.0,0.0,0.171,0.133,0.0,0.0,0.0,0.0,0.119,10
0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.25,0.0,0.104,0.0,0.496,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.677,12
0.0,0.146,0.0,0.106,0.0,0.235,0.107,0.0,0.0,0.0,0.0,0.0,13
0.154,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.166,0.0,0.795,14
0.133,0.0,0.14,0.0,0.0,0.19,0.234,0.0,0.0,0.0,0.0,0.0,15
0.0,0.137,0.0,0.0,0.0,0.131,0.193,0.148,0.0,0.0,0.0,0.0,16
0.187,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.88,0.0,17
0.0,0.138,0.0,0.154,0.0,0.266,0.0,0.191,0.0,0.0,0.0,0.0,18
0.153,0.0,0.0,0.212,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,19
