EV,Waiting_time,Charging_time,Total,Reward
0,0,1.0187499999999994,1.0187499999999994,-1.0187499999999994
1,0,1.2937499999999993,1.2937499999999993,-1.2937499999999993
2,0,1.4187499999999993,1.4187499999999993,-1.4187499999999993
3,0,1.4937499999999995,1.4937499999999995,-1.4937499999999995
4,0,1.1187499999999995,1.1187499999999995,-1.1187499999999995
5,0,1.3937499999999994,1.3937499999999994,-1.3937499999999994
6,0.8437499999999989,1.2187499999999991,2.0624999999999982,-2.0624999999999982
7,0,1.443749999999999,1.443749999999999,-1.443749999999999
8,1.0187499999999994,1.143749999999999,2.1624999999999983,-2.1624999999999983
9,0,0.9937499999999992,0.9937499999999992,-0.9937499999999992
10,1.2437499999999992,1.2187499999999991,2.4624999999999986,-2.4624999999999986
11,0,0.8937499999999997,0.8937499999999997,-0.8937499999999997
12,0,1.1437499999999992,1.1437499999999992,-1.1437499999999992
13,1.0937499999999991,1.1687499999999997,2.262499999999999,-2.262499999999999
14,1.8124999999999982,1.1937499999999996,3.006249999999998,-3.006249999999998
15,1.8624999999999987,1.118749999999999,2.9812499999999975,-2.9812499999999975
16,0,0.7687499999999997,0.7687499999999997,-0.7687499999999997
17,2.162499999999999,1.1687499999999997,3.331249999999999,-3.331249999999999
18,0,0.9937499999999996,0.9937499999999996,-0.9937499999999996
19,2.0625,1.0937499999999996,3.1562499999999996,-3.1562499999999996
