time,distance,position,state,cact_mode,SOC,action
0.01,0,P0,0,0,0.5,-1
0.02,0,P0,0,0,0.5,-1
0.03,0,P0,0,0,0.5,-1
0.04,0,P0,0,0,0.5,-1
0.05,0,P0,0,0,0.5,-1
0.06,0,P0,0,0,0.5,-1
0.07,0,P0,0,0,0.5,-1
0.08,0,P0,0,0,0.5,-1
0.09,0,P0,0,0,0.5,-1
0.1,0,P0,0,0,0.5,-1
0.11,0,P0,0,0,0.5,-1
0.12,0,P0,0,0,0.5,-1
0.13,0,P0,0,0,0.5,-1
0.14,0,P0,0,0,0.5,-1
0.15,0,P0,0,0,0.5,-1
0.16,0,P0,0,0,0.5,-1
0.17,0,P0,0,0,0.5,-1
0.18,0,P0,0,0,0.5,-1
0.19,0,P0,0,0,0.5,-1
0.2,0,P0,0,0,0.5,-1
0.21,0,P0,0,0,0.5,-1
0.22,0,P0,0,0,0.5,-1
0.23,0,P0,0,0,0.5,-1
0.24,0,P0,0,0,0.5,-1
0.25,0,P0,0,0,0.5,-1
0.26,0,P0,0,0,0.5,-1
0.27,0,P0,0,0,0.5,-1
0.28,0,P0,0,0,0.5,-1
0.29,0,P0,0,0,0.5,-1
0.3,0,P0,0,0,0.5,-1
0.31,0,P0,0,0,0.5,-1
0.32,0,P0,0,0,0.5,-1
0.33,0,P0,0,0,0.5,-1
0.34,0,P0,0,0,0.5,-1
0.35,0,P0,0,0,0.5,-1
0.36,0,P0,0,0,0.5,-1
0.37,0,P0,0,0,0.5,-1
0.38,0,P0,0,0,0.5,-1
0.39,0,P0,0,0,0.5,-1
0.4,0,P0,0,0,0.5,-1
0.41,0,P0,0,0,0.5,-1
0.42,0,P0,0,0,0.5,-1
0.43,0,P0,0,0,0.5,-1
0.44,0,P0,0,0,0.5,-1
0.45,0,P0,0,0,0.5,-1
0.46,0,P0,0,0,0.5,-1
0.47,0,P0,0,0,0.5,-1
0.48,0,P0,0,0,0.5,-1
0.49,0,P0,0,0,0.5,-1
0.5,0,P0,0,0,0.5,-1
0.51,0,P0,0,0,0.5,-1
0.52,0,P0,0,0,0.5,-1
0.53,0,P0,0,0,0.5,-1
0.54,0,P0,0,0,0.5,-1
0.55,0,P0,0,0,0.5,-1
0.56,1.0,0-2,0,0,0.3225,-1
0.57,2.0,0-2,0,0,0.3225,-1
0.58,3.0,0-2,0,0,0.3225,-1
0.59,4.0,0-2,0,0,0.3225,-1
0.6,5.0,0-2,0,0,0.3225,-1
0.61,6.0,0-2,0,0,0.3225,-1
0.62,7.0,0-2,0,0,0.3225,-1
0.63,8.0,0-2,0,0,0.3225,-1
0.64,9.0,0-2,0,0,0.3225,-1
0.65,10.0,0-2,0,0,0.3225,-1
0.66,11.0,0-2,0,0,0.3225,-1
0.67,12.0,0-2,0,0,0.3225,-1
0.68,13.0,0-2,0,0,0.3225,-1
0.69,14.0,0-2,0,0,0.3225,-1
0.7,15.0,0-2,0,0,0.3225,-1
0.71,16.0,0-2,0,0,0.3225,-1
0.72,17.0,0-2,0,0,0.3225,-1
0.73,18.0,0-2,0,0,0.3225,-1
0.74,19.0,0-2,0,0,0.3225,-1
0.75,20.0,0-2,0,0,0.3225,-1
0.76,21.0,0-2,0,0,0.3225,-1
0.77,22.0,0-2,0,0,0.3225,-1
0.78,23.0,0-2,0,0,0.3225,-1
0.79,24.0,0-2,0,0,0.3225,-1
0.8,25.0,0-2,0,0,0.3225,-1
0.81,26.0,0-2,0,0,0.3225,-1
0.82,27.0,0-2,0,0,0.3225,-1
0.83,28.0,0-2,0,0,0.3225,-1
0.84,29.0,0-2,0,0,0.3225,-1
0.85,30.0,0-2,0,0,0.3225,-1
0.86,31.0,0-2,0,0,0.3225,-1
0.87,32.0,0-2,0,0,0.3225,-1
0.88,33.0,0-2,0,0,0.3225,-1
0.89,34.0,0-2,0,0,0.3225,-1
0.9,35.0,0-2,0,0,0.3225,-1
0.91,36.0,0-2,0,0,0.3225,-1
0.92,37.0,0-2,0,0,0.3225,-1
0.93,38.0,0-2,0,0,0.3225,-1
0.94,39.0,0-2,0,0,0.3225,-1
0.95,40.0,0-2,0,0,0.3225,-1
0.96,41.0,0-2,0,0,0.3225,-1
0.97,42.0,0-2,0,0,0.3225,-1
0.98,43.0,0-2,0,0,0.3225,-1
0.99,44.0,0-2,0,0,0.3225,-1
1.0,45.0,0-2,0,0,0.3225,-1
1.01,46.0,0-2,0,0,0.3225,-1
1.02,47.0,0-2,0,0,0.3225,-1
1.03,48.0,0-2,0,0,0.3225,-1
1.04,49.0,0-2,0,0,0.3225,-1
1.05,50.0,0-2,0,0,0.3225,-1
1.06,51.0,0-2,0,0,0.3225,-1
1.07,52.0,0-2,0,0,0.3225,-1
1.08,53.0,0-2,0,0,0.3225,-1
1.09,54.0,0-2,0,0,0.3225,-1
1.1,55.0,0-2,0,0,0.3225,-1
1.11,56.0,0-2,0,0,0.3225,-1
1.12,57.0,0-2,0,0,0.3225,-1
1.13,58.0,0-2,0,0,0.3225,-1
1.14,59.0,0-2,0,0,0.3225,-1
1.15,60.0,0-2,0,0,0.3225,-1
1.16,61.0,0-2,0,0,0.3225,-1
1.17,62.0,0-2,0,0,0.3225,-1
1.18,63.0,0-2,0,0,0.3225,-1
1.19,64.0,0-2,0,0,0.3225,-1
1.2,65.0,0-2,0,0,0.3225,-1
1.21,66.0,0-2,0,0,0.3225,-1
1.22,67.0,0-2,0,0,0.3225,-1
1.23,68.0,0-2,0,0,0.3225,-1
1.24,69.0,0-2,0,0,0.3225,-1
1.25,70.0,0-2,0,0,0.3225,-1
1.26,71.0,0-2,0,0,0.3225,-1
1.27,71.0,P1,1,2,0.75,15
1.28,71.0,P1,1,2,0.75,15
1.29,71.0,P1,1,2,0.75,15
1.3,71.0,P1,1,2,0.75,15
1.31,71.0,P1,1,2,0.75,15
1.32,71.0,P1,1,2,0.75,15
1.33,71.0,P1,1,2,0.75,15
1.34,71.0,P1,1,2,0.75,15
1.35,71.0,P1,1,2,0.75,15
1.36,71.0,P1,1,2,0.75,15
1.37,71.0,P1,1,2,0.75,15
1.38,71.0,P1,1,2,0.75,15
1.39,71.0,P1,1,2,0.75,15
1.4,71.0,P1,1,2,0.75,15
1.41,71.0,P1,1,2,0.75,15
1.42,71.0,P1,1,2,0.75,15
1.43,71.0,P1,1,2,0.75,15
1.44,71.0,P1,1,2,0.75,15
1.45,71.0,P1,1,2,0.75,15
1.46,71.0,P1,1,2,0.75,15
1.47,71.0,P1,1,2,0.75,15
1.48,71.0,P1,1,2,0.75,15
1.49,71.0,P1,1,2,0.75,15
1.5,71.0,P1,1,2,0.75,15
1.51,71.0,P1,1,2,0.75,15
1.52,71.0,P1,1,2,0.75,15
1.53,71.0,P1,1,2,0.75,15
1.54,71.0,P1,1,2,0.75,15
1.55,71.0,P1,1,2,0.75,15
1.56,71.0,P1,1,2,0.75,15
1.57,71.0,P1,1,2,0.75,15
1.58,71.0,P1,1,2,0.75,15
1.59,71.0,P1,1,2,0.75,15
1.6,71.0,P1,1,2,0.75,15
1.61,71.0,P1,1,2,0.75,15
1.62,71.0,P1,1,2,0.75,15
1.63,71.0,P1,1,2,0.75,15
1.64,71.0,P1,1,2,0.75,15
1.65,71.0,P1,1,2,0.75,15
1.66,71.0,P1,1,2,0.75,15
1.67,71.0,P1,1,2,0.75,15
1.68,71.0,P1,1,2,0.75,15
1.69,71.0,P1,1,2,0.75,15
1.7,71.0,P1,1,2,0.75,15
1.71,71.0,P1,1,2,0.75,15
1.72,71.0,P1,1,2,0.75,15
1.73,71.0,P1,1,2,0.75,15
1.74,71.0,P1,1,2,0.75,15
1.75,71.0,P1,1,2,0.75,15
1.76,71.0,P1,1,2,0.75,15
1.77,71.0,P1,1,2,0.75,15
1.78,71.0,P1,1,2,0.75,15
1.79,71.0,P1,1,2,0.75,15
1.8,71.0,P1,1,2,0.75,15
1.81,71.0,P1,1,2,0.75,15
1.82,71.0,P1,1,2,0.75,15
1.83,71.0,P1,1,2,0.75,15
1.84,71.0,P1,1,2,0.75,15
1.85,71.0,P1,1,2,0.75,15
1.86,71.0,P1,1,2,0.75,15
1.87,71.0,P1,1,2,0.75,15
1.88,71.0,P1,1,2,0.75,15
1.89,71.0,P1,1,2,0.75,15
1.9,71.0,P1,1,2,0.75,15
1.91,71.0,P1,1,2,0.75,15
1.92,71.0,P1,1,2,0.75,15
1.93,71.0,P1,1,2,0.75,15
1.94,71.0,P1,1,2,0.75,15
1.95,71.0,P1,1,2,0.75,15
1.96,71.0,P1,1,2,0.75,15
1.97,71.0,P1,1,2,0.75,15
1.98,71.0,P1,1,2,0.75,15
1.99,71.0,P1,1,2,0.75,15
2.0,71.0,P1,1,2,0.75,15
2.01,71.0,P1,1,2,0.75,15
2.02,71.0,P1,1,2,0.75,15
2.03,71.0,P1,1,2,0.75,15
2.04,71.0,P1,1,2,0.75,15
2.05,71.0,P1,1,2,0.75,15
2.06,71.0,P1,1,2,0.75,15
2.07,71.0,P1,1,2,0.75,15
2.08,71.0,P1,1,2,0.75,15
2.09,71.0,P1,1,2,0.75,15
2.1,71.0,P1,1,2,0.75,15
2.11,71.0,P1,1,2,0.75,15
2.12,71.0,P1,1,2,0.75,15
