EV,Waiting_time,Charging_time,Total,Reward
0,0.0,0.8875,2.5374999999999996,-7.5375
1,0.0,2.4312500000000004,4.24125,-4.24125
2,0.0,1.2312500000000002,3.0312500000000004,-3.0312500000000004
3,0.0,2.60625,4.40625,-4.40625
4,0.0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
5,0.4912499999999995,2.4312500000000004,4.8325,-4.8325
6,0.0,1.8875000000000004,3.5375000000000005,-3.5375000000000005
7,0.0,1.8937500000000005,3.593750000000001,-3.593750000000001
8,0.3612499999999995,2.1812500000000004,4.3425,-4.3425
9,0.44749999999999956,1.8875000000000004,3.9850000000000003,-3.9850000000000003
10,1.9612500000000068,1.30625,5.097500000000007,-5.097500000000007
11,0.0,2.75,4.529999999999999,-4.529999999999999
12,0.0,0.475,2.155,-7.155
13,2.076249999999998,2.1812500000000004,6.057499999999997,-6.057499999999997
14,0.31499999999999984,2.8312500000000003,5.0562499999999995,-5.0562499999999995
15,1.2100000000000084,1.8979166666666671,4.937916666666675,-4.937916666666675
16,1.7950000000000002,1.8875000000000004,5.3325000000000005,-5.3325000000000005
17,2.145000000000004,1.6208333333333333,5.415833333333338,-5.415833333333338
18,0.17624999999999946,1.4812499999999997,3.457499999999999,-3.457499999999999
19,0.7974999999999992,1.18125,3.7787499999999996,-3.7787499999999996
20,1.489166666666674,2.8237500000000013,6.012916666666675,-6.012916666666675
21,2.8991666666666767,2.8833333333333337,7.562500000000011,-7.562500000000011
22,3.522500000000004,0.26249999999999996,5.435000000000003,-10.435000000000002
23,0.9424999999999994,2.3175000000000003,5.040000000000001,-5.040000000000001
24,3.5458333333333423,2.514166666666667,7.860000000000008,-7.860000000000008
25,1.8375000000000072,1.3062500000000001,4.973750000000008,-4.973750000000008
26,1.5275,1.8937500000000005,5.121250000000001,-5.121250000000001
27,1.8349999999999995,2.1937500000000005,5.858750000000001,-5.858750000000001
28,3.625000000000007,1.8875000000000004,7.312500000000006,-7.312500000000006
29,2.775000000000006,2.7004166666666674,7.385416666666674,-7.385416666666674
