time,0-1,0-2,0-6,1-2,2-3,3-4,3-9,4-5,4-9,5-9,6-7,6-9,7-8,8-9
0.01,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,,,
0.03,,,0,,,,,,,,,,,
0.04,,,0,,,,,,,,,,,
0.05,,,0,,,,,,,,,,,
0.06,,,0,,,,,,,,,,,
0.07,,,0,,,,,,,,,,,
0.08,,1,0,,,,,,,,,,,
0.09,,1,0,,,,,,,,,,,
0.1,,1,0-2,,,,,,,,,,,
0.11,,1,0-2,,,,,,,,,,,
0.12,,1,0-2,,,,,,,,,,,
0.13,,1,0-2-3,,,,,,,,,,,
0.14,,1,0-2-3,,,,,,,,,,,
0.15,4,1,0-2-3,,,,,,,,,,,
0.16,4,1,0-2-3,,,,,,,,,,,
0.17,4,1,0-2-3,,,,,,,,,,,
0.18,4,1,0-2-3,,,,,,,,,,,
0.19,4,1,0-2-3,,,,,,,,,,,
0.2,4,1,0-2-3,,,,,,,,,,,
0.21,4,1,0-2-3,,,,,,,,,,,
0.22,4,1,0-2-3,,,,,,,,,,,
0.23,4,1,0-2-3,,,,,,,,,,,
0.24,4,1,0-2-3,,,,,,,,,,,
0.25,4,1,2-3,,,,,,,,,,,
0.26,4,1,2-3,,,,,,,,,,,
0.27,4,1,2-3,,,,,,,,,,,
0.28,4,1,2-3,,,,,,,,,,,
0.29,4,1,2-3,,,,,,,,,,,
0.3,4,1,2-3,,,,,,,,,,,
0.31,4,1,2-3,,,,,,,,,,,
0.32,4,1,3,,,,,,,,2,,,
0.33,4,1,3,,,,,,,,2,,,
0.34,4,1,3,,,,,,,,2,,,
0.35,4,1,,,,,,,,,2-3,,,
0.36,4,1,,,,,,,,,2-3,,,
0.37,4,1,,,,,,,,,2-3,,,
0.38,,1,,,,,,,,,2-3,,,
0.39,,1-5,,,,,,,,,2-3,,,
0.4,,1-5,,,,,,,,,2-3,,,
0.41,,1-5,,,,,,,,,2-3,,,
0.42,,1-5,6,,,,,,,,2-3,,,
0.43,7,1-5,6,,,,,,,,2-3,,,
0.44,7,1-5,6,,,,,,,,2-3,,,
0.45,7,1-5,6-8,,,,,,,,2-3,,,
0.46,7,1-5,6-8,,,,,,,,2-3,,,
0.47,7,1-5,6-8-9,,,,,,,,2-3,,,
0.48,7,1-5,6-8-9,,,,,,,,2-3,,,
0.49,7,1-5,6-8-9,,,,,,,,2-3,,,
0.5,7,1-5,6-8-9,,,,,,,,2-3,,,
0.51,7,1-5,6-8-9,,,,,,,,2-3,,,
0.52,7,1-5,6-8-9,,,,,,,,2-3,,,
0.53,7,1-5-10,6-8-9,,,,,,,,2-3,,,
0.54,7-11,1-5-10,6-8-9,,,,,,,,2-3,,,
0.55,7-11-12,1-5-10,6-8-9,,,,,,,,2-3,,,
0.56,7-11-12,1-5-10,6-8-9-13,,,,,,,,2-3,,,
0.57,7-11-12,1-5-10,6-8-9-13,,,,,,,,2-3,,,
0.58,7-11-12,1-5-10-14,6-8-9-13,,,,,,,,2-3,,,
0.59,7-11-12,1-5-10-14,6-8-9-13,,,,,,,,2-3,,,
