EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.0999999999999996,2.7799999999999994,-2.7799999999999994
1,0.0,1.225,2.905,-2.905
2,0.0,1.1125000000000003,2.7925,-2.7925
3,0.0,1.0999999999999996,2.8,-2.8
4,0.0,1.1125,2.7924999999999995,-2.7924999999999995
5,0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
6,0.0,1.225,2.905,-2.905
7,0.0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
8,0.0,1.3562499999999997,3.15625,-3.15625
9,0.0,1.3562499999999997,3.15625,-3.15625
10,0.0,1.125,2.905,-2.905
11,0.0,1.18125,2.98125,-2.98125
12,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
13,0.5699999999999992,1.0999999999999996,3.369999999999999,-3.369999999999999
14,0.0,1.18125,2.98125,-2.98125
15,0.5987499999999999,1.1125,3.3912499999999994,-3.3912499999999994
16,0.0,1.4999999999999998,3.28,-3.28
17,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
18,1.0762499999999995,1.23125,4.107499999999999,-4.107499999999999
19,0.887499999999995,1.225,3.7924999999999947,-3.7924999999999947
20,0.43999999999999906,1.0999999999999996,3.2399999999999984,-3.2399999999999984
21,0.5049999999999994,1.3499999999999999,3.534999999999999,-3.534999999999999
22,0.8349999999999997,1.225,3.7399999999999993,-3.7399999999999993
23,0.8149999999999997,1.625,4.219999999999999,-4.219999999999999
24,0.8704166666666668,1.1125,3.6829166666666664,-3.6829166666666664
25,0.8979166666666641,1.0999999999999999,3.6779166666666634,-3.6779166666666634
26,1.0987499999999963,1.0999999999999996,3.898749999999996,-3.898749999999996
27,1.2799999999999985,1.0999999999999996,4.079999999999998,-4.079999999999998
28,0.7512499999999995,1.18125,3.7325,-3.7325
29,0.7712499999999995,1.18125,3.7524999999999995,-3.7524999999999995
