time,0-1,0-2,0-6,1-2,2-3,3-4,3-9,4-5,4-9,5-9,6-7,6-9,7-8,8-9
0.01,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,,,
0.03,,0,,,,,,,,,,,,
0.04,,0,,,,,,,,,,,,
0.05,,0,,,,,,,,,,,,
0.06,,0,,,,,,,,,,,,
0.07,,0,,,,,,,,,,,,
0.08,,0-1,,,,,,,,,,,,
0.09,,0-1,,,,,,,,,,,,
0.1,,0-1,2,,,,,,,,,,,
0.11,,0-1,2,,,,,,,,,,,
0.12,,0-1,2,,,,,,,,,,,
0.13,,0-1-3,2,,,,,,,,,,,
0.14,,0-1-3,2,,,,,,,,,,,
0.15,,0-1-3-4,2,,,,,,,,,,,
0.16,,0-1-3-4,2,,,,,,,,,,,
0.17,,0-1-3-4,2,,,,,,,,,,,
0.18,,0-1-3-4,2,,,,,,,,,,,
0.19,,0-1-3-4,2,,,,,,,,,,,
0.2,,0-1-3-4,2,,,,,,,,,,,
0.21,,0-1-3-4,2,,,,,,,,,,,
0.22,,0-1-3-4,2,,,,,,,,,,,
0.23,,0-1-3-4,2,,,,,,,,,,,
0.24,,0-1-3-4,2,,,,,,,,,,,
0.25,,0-1-3-4,2,,,,,,,,,,,
0.26,,0-1-3-4,2,,,,,,,,,,,
0.27,,0-1-3-4,2,,,,,,,,,,,
0.28,,0-1-3-4,2,,,,,,,,,,,
0.29,,0-1-3-4,2,,,,,,,,,,,
0.3,,0-1-3-4,2,,,,,,,,,,,
0.31,,0-1-3-4,2,,,,,,,,,,,
0.32,,0-1-3-4,,,,,,,,,,,,
0.33,,0-1-3-4,,,,,,,,,,,,
0.34,,0-1-3-4,,,,,,,,,,,,
0.35,,0-1-3-4,,,,,,,,,,,,
0.36,,0-1-3-4,,,,,,,,,,,,
0.37,,0-1-3-4,,,,,,,,,,,,
0.38,,0-1-3-4,,,,,,,,,,,,
0.39,,0-1-3-4,5,,,,,,,,,,,
0.4,,0-1-3-4,5,,,,,,,,,,,
0.41,,0-1-3-4,5,,,,,,,,,,,
0.42,,0-1-3-4-6,5,,,,,,,,,,,
0.43,,0-1-3-4-6,5-7,,,,,,,,,,,
0.44,,0-1-3-4-6,5-7,,,,,,,,,,,
0.45,,0-1-3-4-6,5-7-8,,,,,,,,,,,
0.46,,0-1-3-4-6,5-7-8,,,,,,,,,,,
0.47,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.48,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.49,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.5,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.51,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.52,,0-1-3-4-6-9,5-7-8,,,,,,,,,,,
0.53,,0-1-3-4-6-9,5-7-8-10,,,,,,,,,,,
0.54,,0-1-3-4-6-9,5-7-8-10-11,,,,,,,,,,,
0.55,,0-1-3-4-6-9-12,5-7-8-10-11,,,,,,,,,,,
0.56,13,0-1-3-4-6-9-12,5-7-8-10-11,,,,,,,,,,,
