EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.2499999999999996,3.13,-3.13
1,0.0,1.1749999999999998,3.055,-3.055
2,0.0,1.1749999999999998,3.055,-3.055
3,0.0,1.25,3.13,-3.13
4,0.0,1.3749999999999996,3.255,-3.255
5,0.0,1.25,3.13,-3.13
6,0.0,1.25,3.13,-3.13
7,0.0,1.2499999999999996,3.13,-3.13
8,0.0,1.375,3.3750000000000004,-3.3750000000000004
9,0.0,1.25,3.13,-3.13
10,0.0,1.375,3.3750000000000004,-3.3750000000000004
11,0.0,1.375,3.3750000000000004,-3.3750000000000004
12,0.0,0.875,2.7550000000000003,-7.755000000000001
13,0.0,1.375,3.3750000000000004,-3.3750000000000004
14,0.0,1.375,3.3750000000000004,-3.3750000000000004
15,0.0,1.25,3.13,-3.13
16,0.0,1.1749999999999996,3.0549999999999993,-3.0549999999999993
17,0.0,1.4999999999999998,3.38,-3.38
18,0.0,1.625,3.505,-3.505
19,0.0,1.25,3.13,-3.13
20,0.0,1.375,3.375,-3.375
21,0.0,1.2999999999999998,3.1799999999999997,-3.1799999999999997
22,0.0,1.375,3.3750000000000004,-3.3750000000000004
23,0.0,1.2500000000000002,3.130000000000001,-3.130000000000001
24,0.0,1.3000000000000005,3.180000000000001,-3.180000000000001
25,0.0,1.2500000000000002,3.13,-3.13
26,0.0,1.1750000000000003,3.055,-3.055
27,0.0,1.3749999999999998,3.3750000000000004,-3.3750000000000004
28,0.0,1.3750000000000004,3.375000000000001,-3.375000000000001
29,0.0,1.3750000000000002,3.3750000000000004,-3.3750000000000004
30,0.3249999999999993,1.2499999999999998,3.574999999999999,-3.574999999999999
31,0.0,1.375,3.3750000000000004,-3.3750000000000004
32,0.0,1.375,3.375000000000001,-3.375000000000001
33,0.0,1.4999999999999998,3.7199999999999993,-3.7199999999999993
34,0.0,1.25,3.130000000000001,-3.130000000000001
35,0.0,1.2500000000000004,3.130000000000001,-3.130000000000001
36,0.0,1.5,3.500000000000001,-3.500000000000001
37,0.0,1.2500000000000002,3.13,-3.13
38,0.3999999999999994,1.25,3.5299999999999994,-3.5299999999999994
39,0.0,1.375,3.3750000000000004,-3.3750000000000004
