time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.2,-1,0.0
0.02,0,P0,0,,0.2,-1,0.0
0.03,0,P0,0,,0.2,-1,0.0
0.04,0,P0,0,,0.2,-1,0.0
0.05,0,P0,0,,0.2,-1,0.0
0.06,0,P0,0,,0.2,-1,0.0
0.07,0,P0,0,,0.2,-1,0.0
0.08,0,P0,0,,0.2,-1,0.0
0.09,0,P0,0,,0.2,-1,0.0
0.1,0,P0,0,,0.2,-1,0.0
0.11,0,P0,0,,0.2,-1,0.0
0.12,0,P0,0,,0.2,-1,0.0
0.13,0,P0,0,,0.2,-1,0.0
0.14,0,P0,0,,0.2,-1,0.0
0.15,0,P0,0,,0.2,-1,0.0
0.16,0,P0,0,,0.2,-1,0.0
0.17,0,P0,0,,0.2,-1,0.0
0.18,0,P0,0,,0.2,-1,0.0
0.19,0,P0,0,,0.2,-1,0.0
0.2,0,P0,0,,0.2,-1,0.0
0.21,0,P0,0,,0.2,-1,0.0
0.22,0,P0,0,,0.2,-1,0.0
0.23,0,P0,0,,0.2,-1,0.0
0.24,0,P0,0,,0.2,-1,0.0
0.25,0,P0,0,,0.2,-1,0.0
0.26,0,P0,0,,0.2,-1,0.0
0.27,0,P0,0,,0.2,-1,0.0
0.28,0,P0,0,,0.2,-1,0.0
0.29,0,P0,0,,0.2,-1,0.0
0.3,0,P0,0,,0.2,-1,0.0
0.31,0,P0,0,,0.2,-1,0.0
0.32,0,P0,0,,0.2,-1,0.0
0.33,0,P0,0,,0.2,-1,0.0
0.34,0,P0,0,,0.2,-1,0.0
0.35,0,P0,0,,0.2,-1,0.0
0.36,0,P0,0,,0.2,-1,0.0
0.37,0,P0,0,,0.2,-1,0.0
0.38,0,P0,0,,0.2,-1,0.0
0.39,0,P0,0,,0.2,-1,0.0
0.4,0,P0,0,,0.2,-1,0.0
0.41,0,P0,0,,0.2,-1,0.0
0.42,0,P0,0,,0.2,-1,0.0
0.43,0,P0,0,,0.2,-1,0.0
0.44,0,P0,0,,0.2,-1,0.0
0.45,0,P0,0,,0.2,-1,0.0
0.46,0,P0,0,,0.2,-1,0.0
0.47,0,P0,0,,0.2,-1,0.0
0.48,0,P0,0,,0.2,-1,0.0
0.49,0,P0,0,,0.2,-1,0.0
0.5,0,P0,0,,0.2,-1,0.0
0.51,0,P0,0,,0.2,-1,0.0
0.52,0,P0,0,,0.2,-1,0.0
0.53,0,P0,0,,0.2,-1,0.0
0.54,0,P0,0,,0.2,-1,0.0
0.55,0,P0,0,,0.2,-1,0.0
0.56,0,P0,0,,0.2,-1,0.0
0.57,0,P0,0,,0.2,-1,0.0
0.58,0,P0,0,,0.2,-1,0.0
0.59,0,P0,0,,0.2,-1,0.0
0.6,0,P0,0,,0.2,-1,0.0
0.61,1.0,0-1,0,,0.15500000000000003,-1,0.0
0.62,2.0,0-1,0,,0.15500000000000003,-1,0.0
0.63,3.0,0-1,0,,0.15500000000000003,-1,0.0
0.64,4.0,0-1,0,,0.15500000000000003,-1,0.0
0.65,5.0,0-1,0,,0.15500000000000003,-1,0.0
0.66,6.0,0-1,0,,0.15500000000000003,-1,0.0
0.67,7.0,0-1,0,,0.15500000000000003,-1,0.0
0.68,8.0,0-1,0,,0.15500000000000003,-1,0.0
0.69,9.0,0-1,0,,0.15500000000000003,-1,0.0
0.7,10.0,0-1,0,,0.15500000000000003,-1,0.0
0.71,11.0,0-1,0,,0.15500000000000003,-1,0.0
0.72,12.0,0-1,0,,0.15500000000000003,-1,0.0
0.73,13.0,0-1,0,,0.15500000000000003,-1,0.0
0.74,14.0,0-1,0,,0.15500000000000003,-1,0.0
0.75,15.0,0-1,0,,0.15500000000000003,-1,0.0
0.76,16.0,0-1,0,,0.15500000000000003,-1,0.0
0.77,17.0,0-1,0,,0.15500000000000003,-1,0.0
0.78,18.0,0-1,0,,0.15500000000000003,-1,0.0
0.79,18.0,P1,1,,0.45,9,1.0
0.8,18.0,P1,1,,0.45,9,1.0
0.81,18.0,P1,1,,0.45,9,1.0
0.82,18.0,P1,1,,0.45,9,1.0
0.83,18.0,P1,1,,0.45,9,1.0
0.84,18.0,P1,1,,0.45,9,1.0
0.85,18.0,P1,1,,0.45,9,1.0
0.86,18.0,P1,1,,0.45,9,1.0
0.87,18.0,P1,1,,0.45,9,1.0
0.88,18.0,P1,1,,0.45,9,1.0
0.89,18.0,P1,1,,0.45,9,1.0
0.9,18.0,P1,1,,0.45,9,1.0
0.91,18.0,P1,1,,0.45,9,1.0
0.92,18.0,P1,1,,0.45,9,1.0
0.93,18.0,P1,1,,0.45,9,1.0
0.94,18.0,P1,1,,0.45,9,1.0
0.95,18.0,P1,1,,0.45,9,1.0
0.96,18.0,P1,1,,0.45,9,1.0
0.97,18.0,P1,1,,0.45,9,1.0
0.98,18.0,P1,1,,0.45,9,1.0
0.99,18.0,P1,1,,0.45,9,1.0
1.0,18.0,P1,1,,0.45,9,1.0
1.01,18.0,P1,1,,0.45,9,1.0
1.02,18.0,P1,1,,0.45,9,1.0
1.03,18.0,P1,1,,0.45,9,1.0
1.04,18.0,P1,1,,0.45,9,1.0
1.05,18.0,P1,1,,0.45,9,1.0
1.06,18.0,P1,1,,0.45,9,1.0
1.07,18.0,P1,1,,0.45,9,1.0
1.08,18.0,P1,1,,0.45,9,1.0
1.09,18.0,P1,1,,0.45,9,1.0
1.1,18.0,P1,1,,0.45,9,1.0
1.11,18.0,P1,1,,0.45,9,1.0
1.12,18.0,P1,1,,0.45,9,1.0
1.13,18.0,P1,1,,0.45,9,1.0
1.14,18.0,P1,1,,0.45,9,1.0
1.15,18.0,P1,1,,0.45,9,1.0
1.16,18.0,P1,1,,0.45,9,1.0
1.17,18.0,P1,1,,0.45,9,1.0
1.18,18.0,P1,1,,0.45,9,1.0
1.19,18.0,P1,1,,0.45,9,1.0
1.2,18.0,P1,1,,0.45,9,1.0
1.21,18.0,P1,1,,0.45,9,1.0
1.22,18.0,P1,1,,0.45,9,1.0
1.23,18.0,P1,1,,0.45,9,1.0
1.24,18.0,P1,1,,0.45,9,1.0
1.25,18.0,P1,1,,0.45,9,1.0
1.26,18.0,P1,1,,0.45,9,1.0
1.27,18.0,P1,1,,0.45,9,1.0
1.28,18.0,P1,1,,0.45,9,1.0
1.29,18.0,P1,1,,0.45,9,1.0
1.3,18.0,P1,1,,0.45,9,1.0
1.31,18.0,P1,1,,0.45,9,1.0
1.32,18.0,P1,1,,0.45,9,1.0
1.33,18.0,P1,1,,0.45,9,1.0
1.34,18.0,P1,1,,0.45,9,1.0
1.35,18.0,P1,1,,0.45,9,1.0
1.36,18.0,P1,1,,0.45,9,1.0
1.37,18.0,P1,1,,0.45,9,1.0
1.38,18.0,P1,1,,0.45,9,1.0
1.39,18.0,P1,1,,0.45,9,1.0
1.4,18.0,P1,1,,0.45,9,1.0
1.41,18.0,P1,1,,0.45,9,1.0
1.42,18.0,P1,1,,0.45,9,1.0
1.43,18.0,P1,1,,0.45,9,1.0
1.44,18.0,P1,1,,0.45,9,1.0
1.45,18.0,P1,1,,0.45,9,1.0
1.46,18.0,P1,1,,0.45,9,1.0
1.47,18.0,P1,1,,0.45,9,1.0
1.48,18.0,P1,1,,0.45,9,1.0
1.49,18.0,P1,1,,0.45,9,1.0
1.5,18.0,P1,1,,0.45,9,1.0
1.51,18.0,P1,1,,0.45,9,1.0
1.52,18.0,P1,1,,0.45,9,1.0
1.53,18.0,P1,1,,0.45,9,1.0
1.54,18.0,P1,1,,0.45,9,1.0
1.55,18.0,P1,1,,0.45,9,1.0
1.56,18.0,P1,1,,0.45,9,1.0
1.57,18.0,P1,1,,0.45,9,1.0
1.58,18.0,P1,1,,0.45,9,1.0
1.59,18.0,P1,1,,0.45,9,1.0
1.6,18.0,P1,1,,0.45,9,1.0
1.61,18.0,P1,1,,0.45,9,1.0
1.62,18.0,P1,1,,0.45,9,1.0
1.63,18.0,P1,1,,0.45,9,1.0
1.64,18.0,P1,1,,0.45,9,1.0
1.65,18.0,P1,1,,0.45,9,1.0
1.66,18.0,P1,1,,0.45,9,1.0
1.67,18.0,P1,1,,0.45,9,1.0
1.68,18.0,P1,1,,0.45,9,1.0
1.69,18.0,P1,1,,0.45,9,1.0
1.7,18.0,P1,1,,0.45,9,1.0
1.71,18.0,P1,1,,0.45,9,1.0
1.72,18.0,P1,1,,0.45,9,1.0
1.73,18.0,P1,1,,0.45,9,1.0
1.74,18.0,P1,1,,0.45,9,1.0
1.75,18.0,P1,1,,0.45,9,1.0
1.76,18.0,P1,1,,0.45,9,1.0
1.77,18.0,P1,1,,0.45,9,1.0
1.78,18.0,P1,1,,0.45,9,1.0
1.79,18.0,P1,1,,0.45,9,1.0
1.8,18.0,P1,1,,0.45,9,1.0
1.81,18.0,P1,1,,0.45,9,1.0
1.82,18.0,P1,1,,0.45,9,1.0
1.83,18.0,P1,1,,0.45,9,1.0
1.84,18.0,P1,1,,0.45,9,1.0
1.85,18.0,P1,1,,0.45,9,1.0
1.86,18.0,P1,1,,0.45,9,1.0
1.87,18.0,P1,1,,0.45,9,1.0
1.88,18.0,P1,1,,0.45,9,1.0
1.89,18.0,P1,1,,0.45,9,1.0
1.9,18.0,P1,1,,0.45,9,1.0
1.91,18.0,P1,1,,0.45,9,1.0
1.92,18.0,P1,1,,0.45,9,1.0
1.93,18.0,P1,1,,0.45,9,1.0
1.94,18.0,P1,1,,0.45,9,1.0
1.95,18.0,P1,1,,0.45,9,1.0
1.96,18.0,P1,1,,0.45,9,1.0
1.97,18.0,P1,1,,0.45,9,1.0
1.98,18.0,P1,1,,0.45,9,1.0
1.99,18.0,P1,1,,0.45,9,1.0
2.0,18.0,P1,1,,0.45,9,1.0
2.01,18.0,P1,1,,0.45,9,1.0
2.02,18.0,P1,1,,0.45,9,1.0
2.03,18.0,P1,1,,0.45,9,1.0
2.04,18.0,P1,1,,0.45,9,1.0
2.05,18.0,P1,1,,0.45,9,1.0
2.06,18.0,P1,1,,0.45,9,1.0
2.07,18.0,P1,1,,0.45,9,1.0
2.08,18.0,P1,1,,0.45,9,1.0
2.09,18.0,P1,1,,0.45,9,1.0
2.1,18.0,P1,1,,0.45,9,1.0
2.11,18.0,P1,1,,0.45,9,1.0
2.12,18.0,P1,1,,0.45,9,1.0
2.13,18.0,P1,1,,0.45,9,1.0
2.14,18.0,P1,1,,0.45,9,1.0
2.15,18.0,P1,1,,0.45,9,1.0
2.16,18.0,P1,1,,0.45,9,1.0
2.17,18.0,P1,1,,0.45,9,1.0
2.18,18.0,P1,1,,0.45,9,1.0
2.19,18.0,P1,1,,0.45,9,1.0
2.2,18.0,P1,1,,0.45,9,1.0
2.21,18.0,P1,1,,0.45,9,1.0
2.22,18.0,P1,1,,0.45,9,1.0
2.23,18.0,P1,1,,0.45,9,1.0
2.24,18.0,P1,1,,0.45,9,1.0
2.25,18.0,P1,1,,0.45,9,1.0
2.26,18.0,P1,1,,0.45,9,1.0
2.27,18.0,P1,1,,0.45,9,1.0
2.28,18.0,P1,1,,0.45,9,1.0
2.29,18.0,P1,1,,0.45,9,1.0
2.3,18.0,P1,1,,0.45,9,1.0
2.31,18.0,P1,1,,0.45,9,1.0
2.32,18.0,P1,1,,0.45,9,1.0
2.33,18.0,P1,1,,0.45,9,1.0
2.34,18.0,P1,1,,0.45,9,1.0
2.35,18.0,P1,1,,0.45,9,1.0
2.36,18.0,P1,1,,0.45,9,1.0
2.37,18.0,P1,1,,0.45,9,1.0
2.38,18.0,P1,1,,0.45,9,1.0
2.39,18.0,P1,1,,0.45,9,1.0
2.4,18.0,P1,1,,0.45,9,1.0
2.41,18.0,P1,1,,0.45,9,1.0
2.42,18.0,P1,1,,0.45,9,1.0
2.43,18.0,P1,1,,0.45,9,1.0
2.44,18.0,P1,1,,0.45,9,1.0
2.45,18.0,P1,1,,0.45,9,1.0
2.46,18.0,P1,1,,0.45,9,1.0
2.47,18.0,P1,1,,0.45,9,1.0
2.48,18.0,P1,1,,0.45,9,1.0
2.49,18.0,P1,1,,0.45,9,1.0
2.5,18.0,P1,1,,0.45,9,1.0
2.51,18.0,P1,1,,0.45,9,1.0
2.52,18.0,P1,1,,0.45,9,1.0
2.53,18.0,P1,1,,0.45,9,1.0
2.54,18.0,P1,2,,0.45,9,1.0
2.55,18.0,P1,2,,0.45,9,1.0
2.56,18.0,P1,2,,0.45,9,1.0
2.57,18.0,P1,2,,0.45,9,1.0
2.58,18.0,P1,2,,0.45,9,1.0
2.59,18.0,P1,2,,0.45,9,1.0
2.6,18.0,P1,2,,0.45,9,1.0
2.61,18.0,P1,2,,0.45,9,1.0
2.62,18.0,P1,2,,0.45,9,1.0
2.63,18.0,P1,2,,0.45,9,1.0
2.64,18.0,P1,2,,0.45,9,1.0
2.65,18.0,P1,2,,0.45,9,1.0
2.66,18.0,P1,2,,0.45,9,1.0
2.67,18.0,P1,2,,0.45,9,1.0
2.68,18.0,P1,2,,0.45,9,1.0
2.69,18.0,P1,2,,0.45,9,1.0
2.7,18.0,P1,2,,0.45,9,1.0
2.71,18.0,P1,2,,0.45,9,1.0
2.72,18.0,P1,2,,0.45,9,1.0
2.73,18.0,P1,2,,0.45,9,1.0
2.74,18.0,P1,2,,0.45,9,1.0
2.75,18.0,P1,2,,0.45,9,1.0
2.76,18.0,P1,2,,0.45,9,1.0
2.77,18.0,P1,2,,0.45,9,1.0
2.78,18.0,P1,2,,0.45,9,1.0
2.79,18.0,P1,2,,0.45,9,1.0
2.8,18.0,P1,2,,0.45,9,1.0
2.81,18.0,P1,2,,0.45,9,1.0
2.82,18.0,P1,2,,0.45,9,1.0
2.83,18.0,P1,2,,0.45,9,1.0
2.84,18.0,P1,2,,0.45,9,1.0
2.85,18.0,P1,2,,0.45,9,1.0
2.86,18.0,P1,2,,0.45,9,1.0
