EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.0999999999999996,2.7799999999999994,-2.7799999999999994
1,0.0,1.0999999999999996,2.7799999999999994,-2.7799999999999994
2,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
3,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
4,0.0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
5,0.0,1.1125,2.7924999999999995,-2.7924999999999995
6,0.0,1.0999999999999999,2.78,-2.78
7,0.0,1.1125,2.7924999999999995,-2.7924999999999995
8,0.0,1.18125,2.98125,-2.98125
9,0.0,1.225,2.905,-2.905
10,0.0,1.125,2.905,-2.905
11,0.0,1.23125,3.0312500000000004,-3.0312500000000004
12,0.0,1.18125,2.98125,-2.98125
13,0.0,1.3562499999999997,3.15625,-3.15625
14,0.0,1.125,2.905,-2.905
15,0.5199999999999991,1.125,3.424999999999999,-3.424999999999999
16,0.5299999999999991,1.0999999999999996,3.3099999999999987,-3.3099999999999987
17,0.0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
18,0.7899999999999996,1.3499999999999999,3.8199999999999994,-3.8199999999999994
19,0.7124999999999997,1.1125,3.5049999999999994,-3.5049999999999994
20,0.6641666666666666,1.3541666666666672,3.668333333333334,-3.668333333333334
21,0.6841666666666666,1.3541666666666672,3.6883333333333344,-3.6883333333333344
22,0.8849999999999998,1.0999999999999999,3.6649999999999996,-3.6649999999999996
23,0.8149999999999997,1.2499999999999998,3.8449999999999993,-3.8449999999999993
24,0.6624999999999996,1.0999999999999999,3.4624999999999995,-3.4624999999999995
25,0.7312499999999995,1.23125,3.7624999999999997,-3.7624999999999997
26,0.5704166666666666,1.1125,3.362916666666666,-3.362916666666666
27,0.8212499999999996,1.23125,3.8524999999999996,-3.8524999999999996
28,0.7612499999999995,1.18125,3.7424999999999997,-3.7424999999999997
29,0.8649999999999989,1.0999999999999996,3.6649999999999983,-3.6649999999999983
