time,distance,position,state,cact_mode,SOC,action,act_mode
0.05,0,P0,0,,0.5,-1,0.0
0.1,0,P0,0,,0.5,-1,0.0
0.15,0,P0,0,,0.5,-1,0.0
0.2,0,P0,0,,0.5,-1,0.0
0.25,0,P0,0,,0.5,-1,0.0
0.3,0,P0,0,,0.5,-1,0.0
0.35,5.0,0-2,0,,0.45,-1,0.0
0.4,10.0,0-2,0,,0.45,-1,0.0
0.45,15.0,0-2,0,,0.45,-1,0.0
0.5,20.0,0-2,0,,0.45,-1,0.0
0.55,25.0,2-3,0,,0.4,-1,0.0
0.6,30.0,2-3,0,,0.4,-1,0.0
0.65,35.0,2-3,0,,0.4,-1,0.0
0.7,40.0,2-3,0,,0.4,-1,0.0
0.75,45.0,3-4,0,,0.35000000000000003,-1,0.0
0.8,50.0,3-4,0,,0.35000000000000003,-1,0.0
0.85,55.0,3-4,0,,0.35000000000000003,-1,0.0
0.9,60.0,3-4,0,,0.35000000000000003,-1,0.0
0.95,65.0,4-8,0,,0.30000000000000004,-1,0.0
1.0,70.0,4-8,0,,0.30000000000000004,-1,0.0
1.05,75.0,4-8,0,,0.30000000000000004,-1,0.0
1.1,80.0,4-8,0,,0.30000000000000004,-1,0.0
1.15,85.0,8-9,0,,0.25000000000000006,-1,0.0
1.2,90.0,8-9,0,,0.25000000000000006,-1,0.0
1.25,95.0,8-9,0,,0.25000000000000006,-1,0.0
1.3,100.0,8-9,0,,0.25000000000000006,-1,0.0
1.35,100.0,P9,2,,0.75,15,5.0
1.4,100.0,P9,2,,0.75,15,5.0
1.45,100.0,P9,2,,0.75,15,5.0
1.5,100.0,P9,2,,0.75,15,5.0
1.55,100.0,P9,2,,0.75,15,5.0
1.6,100.0,P9,2,,0.75,15,5.0
1.65,100.0,P9,2,,0.75,15,5.0
1.7,100.0,P9,2,,0.75,15,5.0
1.75,100.0,P9,2,,0.75,15,5.0
1.8,100.0,P9,2,,0.75,15,5.0
1.85,100.0,P9,2,,0.75,15,5.0
1.9,100.0,P9,2,,0.75,15,5.0
1.95,100.0,P9,2,,0.75,15,5.0
2.0,100.0,P9,2,,0.75,15,5.0
2.05,100.0,P9,2,,0.75,15,5.0
2.1,100.0,P9,2,,0.75,15,5.0
2.15,100.0,P9,2,,0.75,15,5.0
2.2,100.0,P9,2,,0.75,15,5.0
2.25,100.0,P9,2,,0.75,15,5.0
2.3,100.0,P9,2,,0.75,15,5.0
2.35,100.0,P9,2,,0.75,15,5.0
2.4,100.0,P9,2,,0.75,15,5.0
2.45,100.0,P9,2,,0.75,15,5.0
2.5,100.0,P9,2,,0.75,15,5.0
2.55,100.0,P9,0,,0.75,-1,0.0
2.6,105.0,9-14,0,,0.65,-1,0.0
2.65,110.0,9-14,0,,0.65,-1,0.0
2.7,115.0,9-14,0,,0.65,-1,0.0
2.75,120.0,9-14,0,,0.65,-1,0.0
2.8,125.0,9-14,0,,0.65,-1,0.0
2.85,130.0,9-14,0,,0.65,-1,0.0
2.9,135.0,9-14,0,,0.65,-1,0.0
2.95,140.0,9-14,0,,0.65,-1,0.0
3.0,145.0,14-21,0,,0.6,-1,0.0
3.05,150.0,14-21,0,,0.6,-1,0.0
3.1,155.0,14-21,0,,0.6,-1,0.0
3.15,160.0,14-21,0,,0.6,-1,0.0
3.2,165.0,21-23,0,,0.53,-1,0.0
3.25,170.0,21-23,0,,0.53,-1,0.0
3.3,175.0,21-23,0,,0.53,-1,0.0
3.35,180.0,21-23,0,,0.53,-1,0.0
3.4,185.0,21-23,0,,0.53,-1,0.0
3.45,190.0,21-23,0,,0.53,-1,0.0
