EV,Waiting_time,Charging_time,Total,Reward
0,0.0,0.34999999999999976,3.0799999999999996,-3.0799999999999996
1,0.0,0.13124999999999998,2.8612499999999996,-2.8612499999999996
2,0.0,0.7124999999999999,3.5925000000000002,-3.5925000000000002
3,0.0,0.23125000000000007,2.9612499999999997,-2.9612499999999997
4,0.0,0.6312499999999999,3.3612499999999996,-3.3612499999999996
5,0.0,0.5125000000000002,3.3925,-3.3925
6,0.0,0.7625000000000001,3.6425,-3.6425
7,0.0,0.26250000000000007,3.1425,-3.1425
8,0,0.4999999999999998,3.2299999999999995,-3.2299999999999995
9,0.0,0.21250000000000002,3.0925000000000002,-3.0925000000000002
10,0.0,1.0125,3.8925,-3.8925
11,0,0.5312500000000002,3.26125,-3.26125
12,0.0,0.7500000000000002,3.48,-3.48
13,0.0,0.9124999999999996,3.7924999999999995,-3.7924999999999995
14,0,0.5562500000000001,3.2862499999999994,-3.2862499999999994
15,0.0,0.18125000000000002,2.9112499999999994,-2.9112499999999994
16,0.0,0.5874999999999998,3.4675000000000002,-3.4675000000000002
17,0.0,0.4937499999999996,3.3637499999999996,-3.3637499999999996
18,0.05124999999999945,0.48124999999999973,3.262499999999999,-3.262499999999999
19,0,0.33125000000000016,3.06125,-3.06125
20,0.061250000000000006,0.4812500000000003,3.2725,-3.2725
21,0.021249999999999887,0.4062500000000002,3.1574999999999998,-3.1574999999999998
22,0,0,2.7299999999999995,-2.7299999999999995
23,0.0,0.8312499999999998,3.5612499999999994,-3.5612499999999994
24,0.0,0.6562499999999999,3.3862499999999995,-3.3862499999999995
25,0.0,0.4624999999999999,3.1925,-3.1925
26,0.0,0.43125000000000024,3.16125,-3.16125
27,0,0.4374999999999999,3.3175,-3.3175
28,0,0.5312500000000001,3.26125,-3.26125
29,0.0,1.0062499999999994,3.736249999999999,-3.736249999999999
