EV,Waiting_time,Charging_time,Total,Reward
0,0,1.0074999999999998,1.0074999999999998,-1.0074999999999998
1,0,1.4650000000000003,1.4650000000000003,-1.4650000000000003
2,0,1.5512500000000002,1.5512500000000002,-1.5512500000000002
3,0,1.5831250000000003,1.5831250000000003,-1.5831250000000003
4,0,1.1800000000000002,1.1800000000000002,-1.1800000000000002
5,0,1.3825000000000003,1.3825000000000003,-1.3825000000000003
6,0.3799999999999996,1.5899999999999996,1.9699999999999993,-1.9699999999999993
7,0.35124999999999945,1.4281249999999996,1.779374999999999,-1.779374999999999
8,0,1.3868749999999999,1.3868749999999999,-1.3868749999999999
9,0,1.0781249999999996,1.0781249999999996,-2.0781249999999996
10,0.20749999999999974,1.2618749999999999,1.4693749999999999,-1.4693749999999999
11,0.9543749999999992,1.078125,2.032499999999999,-3.032499999999999
12,0,1.958125,1.958125,-1.958125
13,0.10874999999999978,1.4149999999999996,1.5237499999999993,-1.5237499999999993
14,0.4024999999999996,1.28,1.6824999999999997,-1.6824999999999997
15,0.20625000000000004,1.1075,1.3137499999999998,-1.3137499999999998
16,0,0.8824999999999994,0.8824999999999994,-1.3824999999999994
17,0.3875,1.3299999999999998,1.7174999999999998,-1.7174999999999998
18,0.7037499999999997,1.1031249999999997,1.8068749999999993,-1.8068749999999993
19,0.29249999999999954,1.286875,1.5793749999999995,-1.5793749999999995
