time,distance,position,state,act_mode,SOC,action
0.05,0,0,0,0,0.83,-1
0.1,0,0,0,0,0.83,-1
0.15,0,0,0,0,0.83,-1
0.2,0,0,0,0,0.83,-1
0.25,0,0,0,0,0.83,-1
0.3,0,0,0,0,0.83,-1
0.35,0,0,0,0,0.83,-1
0.4,5.0,1,0,0,0.7865,-1
0.45,10.0,1,0,0,0.7865,-1
0.5,15.0,1,0,0,0.7865,-1
0.55,20.0,2,0,0,0.7865,-1
0.6,25.0,3,0,0,0.6799999999999999,-1
0.65,30.0,3,0,0,0.6799999999999999,-1
0.7,35.0,3,0,0,0.6799999999999999,-1
0.75,40.0,3,0,0,0.6799999999999999,-1
0.8,45.0,3,0,0,0.6799999999999999,-1
0.85,50.0,3,0,0,0.6799999999999999,-1
0.9,55.0,3,0,0,0.6799999999999999,-1
0.95,60.0,3,0,0,0.6799999999999999,-1
1.0,65.0,4,0,0,0.6799999999999999,-1
1.05,70.0,5,0,0,0.601,-1
1.1,75.0,5,0,0,0.601,-1
1.15,80.0,5,0,0,0.601,-1
1.2,85.0,5,0,0,0.601,-1
1.25,90.0,5,0,0,0.601,-1
1.3,95.0,5,0,0,0.601,-1
1.35,100.0,6,0,0,0.601,-1
1.4,105.0,7,0,0,0.5057499999999999,-1
1.45,110.0,7,0,0,0.5057499999999999,-1
1.5,115.0,7,0,0,0.5057499999999999,-1
1.55,120.0,7,0,0,0.5057499999999999,-1
1.6,125.0,7,0,0,0.5057499999999999,-1
1.65,130.0,7,0,0,0.5057499999999999,-1
1.7,135.0,7,0,0,0.5057499999999999,-1
1.75,140.0,8,0,0,0.5057499999999999,-1
1.8,140.0,8,2,4,0.88175,20
1.85,140.0,8,2,4,0.88175,20
1.9,140.0,8,2,4,0.88175,20
1.95,140.0,8,2,4,0.88175,20
2.0,140.0,8,2,4,0.88175,20
2.05,140.0,8,2,4,0.88175,20
2.1,140.0,8,2,4,0.88175,20
2.15,140.0,8,2,4,0.88175,20
2.2,140.0,8,2,4,0.88175,20
2.25,140.0,8,2,4,0.88175,20
2.3,140.0,8,2,4,0.88175,20
2.35,140.0,8,2,4,0.88175,20
