EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.0999999999999996,2.7799999999999994,-2.7799999999999994
1,0.0,1.1125000000000003,2.7925,-2.7925
2,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
3,0.0,1.1125000000000003,2.7925,-2.7925
4,0.0,1.225,2.905,-2.905
5,0.0,1.3541666666666672,3.0041666666666673,-3.0041666666666673
6,0.0,1.23125,3.0312500000000004,-3.0312500000000004
7,0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
8,0.0,1.18125,2.98125,-2.98125
9,0.0,1.0999999999999996,2.7799999999999994,-2.7799999999999994
10,0.0,1.0999999999999999,2.78,-2.78
11,0.0,1.125,2.905,-2.905
12,0.0,1.375,3.155,-3.155
13,1.420000000000003,1.2062499999999998,4.536250000000003,-4.536250000000003
14,0,1.3604166666666673,3.0404166666666668,-3.0404166666666668
15,0.0,1.23125,3.0312500000000004,-3.0312500000000004
16,0.7249999999999996,1.0999999999999999,3.5049999999999994,-3.5049999999999994
17,0.4699999999999991,1.0999999999999996,3.2499999999999982,-3.2499999999999982
18,0.0,1.18125,2.98125,-2.98125
19,0.5787499999999972,1.0999999999999996,3.3587499999999966,-3.3587499999999966
20,0.7249999999999979,1.0999999999999996,3.5249999999999977,-3.5249999999999977
21,0.8299999999999996,1.3499999999999999,3.8599999999999994,-3.8599999999999994
22,0.8549999999999998,1.4999999999999998,4.134999999999999,-4.134999999999999
23,0.8112499999999996,1.23125,3.8425,-3.8425
24,1.0449999999999997,1.2499999999999998,4.074999999999999,-4.074999999999999
25,0.7312499999999995,1.18125,3.7124999999999995,-3.7124999999999995
26,0.9012499999999997,1.23125,3.9324999999999997,-3.9324999999999997
27,0.5041666666666664,1.3541666666666672,3.5083333333333337,-3.5083333333333337
28,1.0254166666666646,1.0999999999999996,3.805416666666664,-3.805416666666664
29,1.0612499999999994,1.0999999999999996,3.861249999999999,-3.861249999999999
