time,distance,position,state,cact_mode,SOC,action
0.01,0,P0,0,0,0.5,-1
0.02,0,P0,0,0,0.5,-1
0.03,0,P0,0,0,0.5,-1
0.04,0,P0,0,0,0.5,-1
0.05,0,P0,0,0,0.5,-1
0.06,0,P0,0,0,0.5,-1
0.07,0,P0,0,0,0.5,-1
0.08,0,P0,0,0,0.5,-1
0.09,0,P0,0,0,0.5,-1
0.1,0,P0,0,0,0.5,-1
0.11,0,P0,0,0,0.5,-1
0.12,0,P0,0,0,0.5,-1
0.13,0,P0,0,0,0.5,-1
0.14,0,P0,0,0,0.5,-1
0.15,0,P0,0,0,0.5,-1
0.16,0,P0,0,0,0.5,-1
0.17,0,P0,0,0,0.5,-1
0.18,0,P0,0,0,0.5,-1
0.19,0,P0,0,0,0.5,-1
0.2,0,P0,0,0,0.5,-1
0.21,0,P0,0,0,0.5,-1
0.22,0,P0,0,0,0.5,-1
0.23,0,P0,0,0,0.5,-1
0.24,0,P0,0,0,0.5,-1
0.25,0,P0,0,0,0.5,-1
0.26,0,P0,0,0,0.5,-1
0.27,0,P0,0,0,0.5,-1
0.28,0,P0,0,0,0.5,-1
0.29,0,P0,0,0,0.5,-1
0.3,0,P0,0,0,0.5,-1
0.31,0,P0,0,0,0.5,-1
0.32,0,P0,0,0,0.5,-1
0.33,0,P0,0,0,0.5,-1
0.34,0,P0,0,0,0.5,-1
0.35,0,P0,0,0,0.5,-1
0.36,0,P0,0,0,0.5,-1
0.37,0,P0,0,0,0.5,-1
0.38,0,P0,0,0,0.5,-1
0.39,0,P0,0,0,0.5,-1
0.4,0,P0,0,0,0.5,-1
0.41,0,P0,0,0,0.5,-1
0.42,0,P0,0,0,0.5,-1
0.43,0,P0,0,0,0.5,-1
0.44,0,P0,0,0,0.5,-1
0.45,0,P0,0,0,0.5,-1
0.46,0,P0,0,0,0.5,-1
0.47,0,P0,0,0,0.5,-1
0.48,0,P0,0,0,0.5,-1
0.49,0,P0,0,0,0.5,-1
0.5,0,P0,0,0,0.5,-1
0.51,0,P0,0,0,0.5,-1
0.52,0,P0,0,0,0.5,-1
0.53,0,P0,0,0,0.5,-1
0.54,0,P0,0,0,0.5,-1
0.55,0,P0,0,0,0.5,-1
0.56,0,P0,0,0,0.5,-1
0.57,0,P0,0,0,0.5,-1
0.58,0,P0,0,0,0.5,-1
0.59,0,P0,0,0,0.5,-1
0.6,0,P0,0,0,0.5,-1
0.61,0,P0,0,0,0.5,-1
0.62,0,P0,0,0,0.5,-1
0.63,0,P0,0,0,0.5,-1
0.64,0,P0,0,0,0.5,-1
0.65,1.0,0-2,0,0,0.3225,-1
0.66,2.0,0-2,0,0,0.3225,-1
0.67,3.0,0-2,0,0,0.3225,-1
0.68,4.0,0-2,0,0,0.3225,-1
0.69,5.0,0-2,0,0,0.3225,-1
0.7,6.0,0-2,0,0,0.3225,-1
0.71,7.0,0-2,0,0,0.3225,-1
0.72,8.0,0-2,0,0,0.3225,-1
0.73,9.0,0-2,0,0,0.3225,-1
0.74,10.0,0-2,0,0,0.3225,-1
0.75,11.0,0-2,0,0,0.3225,-1
0.76,12.0,0-2,0,0,0.3225,-1
0.77,13.0,0-2,0,0,0.3225,-1
0.78,14.0,0-2,0,0,0.3225,-1
0.79,15.0,0-2,0,0,0.3225,-1
0.8,16.0,0-2,0,0,0.3225,-1
0.81,17.0,0-2,0,0,0.3225,-1
0.82,18.0,0-2,0,0,0.3225,-1
0.83,19.0,0-2,0,0,0.3225,-1
0.84,20.0,0-2,0,0,0.3225,-1
0.85,21.0,0-2,0,0,0.3225,-1
0.86,22.0,0-2,0,0,0.3225,-1
0.87,23.0,0-2,0,0,0.3225,-1
0.88,24.0,0-2,0,0,0.3225,-1
0.89,25.0,0-2,0,0,0.3225,-1
0.9,26.0,0-2,0,0,0.3225,-1
0.91,27.0,0-2,0,0,0.3225,-1
0.92,28.0,0-2,0,0,0.3225,-1
0.93,29.0,0-2,0,0,0.3225,-1
0.94,30.0,0-2,0,0,0.3225,-1
0.95,31.0,0-2,0,0,0.3225,-1
0.96,32.0,0-2,0,0,0.3225,-1
0.97,33.0,0-2,0,0,0.3225,-1
0.98,34.0,0-2,0,0,0.3225,-1
0.99,35.0,0-2,0,0,0.3225,-1
1.0,36.0,0-2,0,0,0.3225,-1
1.01,37.0,0-2,0,0,0.3225,-1
1.02,38.0,0-2,0,0,0.3225,-1
1.03,39.0,0-2,0,0,0.3225,-1
1.04,40.0,0-2,0,0,0.3225,-1
1.05,41.0,0-2,0,0,0.3225,-1
1.06,42.0,0-2,0,0,0.3225,-1
1.07,43.0,0-2,0,0,0.3225,-1
1.08,44.0,0-2,0,0,0.3225,-1
1.09,45.0,0-2,0,0,0.3225,-1
1.1,46.0,0-2,0,0,0.3225,-1
1.11,47.0,0-2,0,0,0.3225,-1
1.12,48.0,0-2,0,0,0.3225,-1
1.13,49.0,0-2,0,0,0.3225,-1
1.14,50.0,0-2,0,0,0.3225,-1
1.15,51.0,0-2,0,0,0.3225,-1
1.16,52.0,0-2,0,0,0.3225,-1
1.17,53.0,0-2,0,0,0.3225,-1
1.18,54.0,0-2,0,0,0.3225,-1
1.19,55.0,0-2,0,0,0.3225,-1
1.2,56.0,0-2,0,0,0.3225,-1
1.21,57.0,0-2,0,0,0.3225,-1
1.22,58.0,0-2,0,0,0.3225,-1
1.23,59.0,0-2,0,0,0.3225,-1
1.24,60.0,0-2,0,0,0.3225,-1
1.25,61.0,0-2,0,0,0.3225,-1
1.26,62.0,0-2,0,0,0.3225,-1
1.27,63.0,0-2,0,0,0.3225,-1
1.28,64.0,0-2,0,0,0.3225,-1
1.29,65.0,0-2,0,0,0.3225,-1
1.3,66.0,0-2,0,0,0.3225,-1
1.31,67.0,0-2,0,0,0.3225,-1
1.32,68.0,0-2,0,0,0.3225,-1
1.33,69.0,0-2,0,0,0.3225,-1
1.34,70.0,0-2,0,0,0.3225,-1
1.35,71.0,0-2,0,0,0.3225,-1
1.36,72.0,2-3,0,0,0.2275,-1
1.37,73.0,2-3,0,0,0.2275,-1
1.38,74.0,2-3,0,0,0.2275,-1
1.39,75.0,2-3,0,0,0.2275,-1
1.4,76.0,2-3,0,0,0.2275,-1
1.41,77.0,2-3,0,0,0.2275,-1
1.42,78.0,2-3,0,0,0.2275,-1
1.43,79.0,2-3,0,0,0.2275,-1
1.44,80.0,2-3,0,0,0.2275,-1
1.45,81.0,2-3,0,0,0.2275,-1
1.46,82.0,2-3,0,0,0.2275,-1
1.47,83.0,2-3,0,0,0.2275,-1
1.48,84.0,2-3,0,0,0.2275,-1
1.49,85.0,2-3,0,0,0.2275,-1
1.5,86.0,2-3,0,0,0.2275,-1
1.51,87.0,2-3,0,0,0.2275,-1
1.52,88.0,2-3,0,0,0.2275,-1
1.53,89.0,2-3,0,0,0.2275,-1
1.54,90.0,2-3,0,0,0.2275,-1
1.55,91.0,2-3,0,0,0.2275,-1
1.56,92.0,2-3,0,0,0.2275,-1
1.57,93.0,2-3,0,0,0.2275,-1
1.58,94.0,2-3,0,0,0.2275,-1
1.59,95.0,2-3,0,0,0.2275,-1
1.6,96.0,2-3,0,0,0.2275,-1
1.61,97.0,2-3,0,0,0.2275,-1
1.62,98.0,2-3,0,0,0.2275,-1
1.63,99.0,2-3,0,0,0.2275,-1
1.64,100.0,2-3,0,0,0.2275,-1
1.65,101.0,2-3,0,0,0.2275,-1
1.66,102.0,2-3,0,0,0.2275,-1
1.67,103.0,2-3,0,0,0.2275,-1
1.68,104.0,2-3,0,0,0.2275,-1
1.69,105.0,2-3,0,0,0.2275,-1
1.7,106.0,2-3,0,0,0.2275,-1
1.71,107.0,2-3,0,0,0.2275,-1
1.72,108.0,2-3,0,0,0.2275,-1
1.73,109.0,2-3,0,0,0.2275,-1
1.74,109.0,P2,1,3,0.5,10
1.75,109.0,P2,1,3,0.5,10
1.76,109.0,P2,1,3,0.5,10
1.77,109.0,P2,1,3,0.5,10
1.78,109.0,P2,1,3,0.5,10
1.79,109.0,P2,1,3,0.5,10
1.8,109.0,P2,1,3,0.5,10
1.81,109.0,P2,1,3,0.5,10
1.82,109.0,P2,1,3,0.5,10
1.83,109.0,P2,1,3,0.5,10
1.84,109.0,P2,1,3,0.5,10
1.85,109.0,P2,1,3,0.5,10
1.86,109.0,P2,1,3,0.5,10
1.87,109.0,P2,1,3,0.5,10
1.88,109.0,P2,1,3,0.5,10
1.89,109.0,P2,1,3,0.5,10
1.9,109.0,P2,1,3,0.5,10
1.91,109.0,P2,1,3,0.5,10
1.92,109.0,P2,1,3,0.5,10
1.93,109.0,P2,1,3,0.5,10
1.94,109.0,P2,1,3,0.5,10
1.95,109.0,P2,1,3,0.5,10
1.96,109.0,P2,1,3,0.5,10
1.97,109.0,P2,1,3,0.5,10
1.98,109.0,P2,1,3,0.5,10
1.99,109.0,P2,1,3,0.5,10
2.0,109.0,P2,1,3,0.5,10
2.01,109.0,P2,1,3,0.5,10
2.02,109.0,P2,1,3,0.5,10
2.03,109.0,P2,1,3,0.5,10
2.04,109.0,P2,1,3,0.5,10
2.05,109.0,P2,1,3,0.5,10
2.06,109.0,P2,1,3,0.5,10
2.07,109.0,P2,1,3,0.5,10
