time,distance,position,state,act_mode,SOC,action
0.05,0,0,0,0,0.82,-1
0.1,5.0,1,0,0,0.7765,-1
0.15,10.0,1,0,0,0.7765,-1
0.2,15.0,1,0,0,0.7765,-1
0.25,20.0,2,0,0,0.7765,-1
0.3,25.0,3,0,0,0.6699999999999999,-1
0.35,30.0,3,0,0,0.6699999999999999,-1
0.4,35.0,3,0,0,0.6699999999999999,-1
0.45,40.0,3,0,0,0.6699999999999999,-1
0.5,45.0,3,0,0,0.6699999999999999,-1
0.55,50.0,3,0,0,0.6699999999999999,-1
0.6,55.0,3,0,0,0.6699999999999999,-1
0.65,60.0,3,0,0,0.6699999999999999,-1
0.7,65.0,4,0,0,0.6699999999999999,-1
0.75,70.0,5,0,0,0.591,-1
0.8,75.0,5,0,0,0.591,-1
0.85,80.0,5,0,0,0.591,-1
0.9,85.0,5,0,0,0.591,-1
0.95,90.0,5,0,0,0.591,-1
1.0,95.0,5,0,0,0.591,-1
1.05,100.0,6,0,0,0.591,-1
1.1,105.0,7,0,0,0.49574999999999997,-1
1.15,110.0,7,0,0,0.49574999999999997,-1
1.2,115.0,7,0,0,0.49574999999999997,-1
1.25,120.0,7,0,0,0.49574999999999997,-1
1.3,125.0,7,0,0,0.49574999999999997,-1
1.35,130.0,7,0,0,0.49574999999999997,-1
1.4,135.0,7,0,0,0.49574999999999997,-1
1.45,140.0,8,0,0,0.49574999999999997,-1
1.5,145.0,9,0,0,0.37749999999999995,-1
1.55,150.0,9,0,0,0.37749999999999995,-1
1.6,155.0,9,0,0,0.37749999999999995,-1
1.65,160.0,9,0,0,0.37749999999999995,-1
1.7,165.0,9,0,0,0.37749999999999995,-1
1.75,170.0,9,0,0,0.37749999999999995,-1
1.8,175.0,9,0,0,0.37749999999999995,-1
1.85,180.0,9,0,0,0.37749999999999995,-1
1.9,185.0,9,0,0,0.37749999999999995,-1
1.95,190.0,10,0,0,0.37749999999999995,-1
2.0,195.0,11,0,0,0.24799999999999994,-1
2.05,200.0,11,0,0,0.24799999999999994,-1
2.1,205.0,11,0,0,0.24799999999999994,-1
2.15,210.0,11,0,0,0.24799999999999994,-1
2.2,215.0,11,0,0,0.24799999999999994,-1
2.25,220.0,11,0,0,0.24799999999999994,-1
2.3,225.0,11,0,0,0.24799999999999994,-1
2.35,230.0,11,0,0,0.24799999999999994,-1
2.4,235.0,11,0,0,0.24799999999999994,-1
2.45,240.0,11,0,0,0.24799999999999994,-1
2.5,245.0,12,0,0,0.24799999999999994,-1
2.55,245.0,12,2,6,0.6214999999999999,0.492
2.6,245.0,12,2,6,0.6214999999999999,0.492
2.65,245.0,12,2,6,0.6214999999999999,0.492
2.7,245.0,12,2,6,0.6214999999999999,0.492
2.75,245.0,12,2,6,0.6214999999999999,0.492
2.8,245.0,12,2,6,0.6214999999999999,0.492
2.85,245.0,12,2,6,0.6214999999999999,0.492
2.9,245.0,12,2,6,0.6214999999999999,0.492
2.95,245.0,12,2,6,0.6214999999999999,0.492
3.0,245.0,12,2,6,0.6214999999999999,0.492
3.05,245.0,12,2,6,0.6214999999999999,0.492
3.1,245.0,12,2,6,0.6214999999999999,0.492
3.15,245.0,12,2,6,0.6214999999999999,0.492
3.2,245.0,12,2,6,0.6214999999999999,0.492
3.25,245.0,12,2,6,0.6214999999999999,0.492
3.3,245.0,12,2,6,0.6214999999999999,0.492
3.35,245.0,12,2,6,0.6214999999999999,0.492
3.4,245.0,12,2,6,0.6214999999999999,0.492
3.45,245.0,12,2,6,0.6214999999999999,0.492
3.5,245.0,12,2,6,0.6214999999999999,0.492
3.55,245.0,12,2,6,0.6214999999999999,0.492
3.6,245.0,12,2,6,0.6214999999999999,0.492
3.65,245.0,12,2,6,0.6214999999999999,0.492
3.7,245.0,12,2,6,0.6214999999999999,0.492
3.75,245.0,13,0,0,0.6214999999999999,-1
3.8,250.0,13,0,0,0.6214999999999999,-1
3.85,255.0,13,0,0,0.6214999999999999,-1
3.9,260.0,13,0,0,0.6214999999999999,-1
3.95,265.0,13,0,0,0.6214999999999999,-1
4.0,270.0,13,0,0,0.6214999999999999,-1
4.05,275.0,13,0,0,0.6214999999999999,-1
4.1,280.0,13,0,0,0.6214999999999999,-1
4.15,285.0,13,0,0,0.6214999999999999,-1
4.2,290.0,13,0,0,0.6214999999999999,-1
4.25,295.0,14,0,0,0.6214999999999999,-1
4.3,300.0,15,0,0,0.48599999999999993,-1
4.35,305.0,15,0,0,0.48599999999999993,-1
4.4,310.0,15,0,0,0.48599999999999993,-1
4.45,315.0,15,0,0,0.48599999999999993,-1
4.5,320.0,15,0,0,0.48599999999999993,-1
4.55,325.0,15,0,0,0.48599999999999993,-1
4.6,330.0,15,0,0,0.48599999999999993,-1
4.65,335.0,15,0,0,0.48599999999999993,-1
4.7,340.0,15,0,0,0.48599999999999993,-1
4.75,345.0,15,0,0,0.48599999999999993,-1
4.8,350.0,16,0,0,0.48599999999999993,-1
4.85,355.0,17,0,0,0.3872499999999999,-1
4.9,360.0,17,0,0,0.3872499999999999,-1
4.95,365.0,17,0,0,0.3872499999999999,-1
5.0,370.0,17,0,0,0.3872499999999999,-1
5.05,375.0,17,0,0,0.3872499999999999,-1
5.1,380.0,17,0,0,0.3872499999999999,-1
5.15,385.0,17,0,0,0.3872499999999999,-1
5.2,390.0,18,0,0,0.3872499999999999,-1
5.25,395.0,19,0,0,0.34874999999999995,-1
5.3,400.0,19,0,0,0.34874999999999995,-1
5.35,405.0,19,0,0,0.34874999999999995,-1
5.4,410.0,20,0,0,0.34874999999999995,-1
5.45,415.0,21,0,0,0.25899999999999995,-1
5.5,420.0,21,0,0,0.25899999999999995,-1
5.55,425.0,21,0,0,0.25899999999999995,-1
5.6,430.0,21,0,0,0.25899999999999995,-1
5.65,435.0,21,0,0,0.25899999999999995,-1
5.7,440.0,21,0,0,0.25899999999999995,-1
5.75,445.0,21,0,0,0.25899999999999995,-1
5.8,450.0,22,0,0,0.25899999999999995,-1
5.85,455.0,23,0,0,0.19074999999999998,-1
5.9,460.0,23,0,0,0.19074999999999998,-1
5.95,465.0,23,0,0,0.19074999999999998,-1
6.0,470.0,23,0,0,0.19074999999999998,-1
6.05,475.0,23,0,0,0.19074999999999998,-1
6.1,480.0,24,0,0,0.19074999999999998,-1
6.15,480.0,24,2,12,0.27649999999999997,0.192
6.2,480.0,24,2,12,0.27649999999999997,0.192
6.25,480.0,24,2,12,0.27649999999999997,0.192
6.3,480.0,24,2,12,0.27649999999999997,0.192
6.35,480.0,24,2,12,0.27649999999999997,0.192
6.4,480.0,24,2,12,0.27649999999999997,0.192
