time,distance,position,state,cact_mode,SOC,action
0.01,0,P0,0,0,0.86,-1
0.02,0,P0,0,0,0.86,-1
0.03,0,P0,0,0,0.86,-1
0.04,0,P0,0,0,0.86,-1
0.05,0,P0,0,0,0.86,-1
0.06,0,P0,0,0,0.86,-1
0.07,0,P0,0,0,0.86,-1
0.08,0,P0,0,0,0.86,-1
0.09,0,P0,0,0,0.86,-1
0.1,0,P0,0,0,0.86,-1
0.11,0,P0,0,0,0.86,-1
0.12,0,P0,0,0,0.86,-1
0.13,1.0,0-10,0,0,0.69,-1
0.14,2.0,0-10,0,0,0.69,-1
0.15,3.0,0-10,0,0,0.69,-1
0.16,4.0,0-10,0,0,0.69,-1
0.17,5.0,0-10,0,0,0.69,-1
0.18,6.0,0-10,0,0,0.69,-1
0.19,7.0,0-10,0,0,0.69,-1
0.2,8.0,0-10,0,0,0.69,-1
0.21,9.0,0-10,0,0,0.69,-1
0.22,10.0,0-10,0,0,0.69,-1
0.23,11.0,0-10,0,0,0.69,-1
0.24,12.0,0-10,0,0,0.69,-1
0.25,13.0,0-10,0,0,0.69,-1
0.26,14.0,0-10,0,0,0.69,-1
0.27,15.0,0-10,0,0,0.69,-1
0.28,16.0,0-10,0,0,0.69,-1
0.29,17.0,0-10,0,0,0.69,-1
0.3,18.0,0-10,0,0,0.69,-1
0.31,19.0,0-10,0,0,0.69,-1
0.32,20.0,0-10,0,0,0.69,-1
0.33,21.0,0-10,0,0,0.69,-1
0.34,22.0,0-10,0,0,0.69,-1
0.35,23.0,0-10,0,0,0.69,-1
0.36,24.0,0-10,0,0,0.69,-1
0.37,25.0,0-10,0,0,0.69,-1
0.38,26.0,0-10,0,0,0.69,-1
0.39,27.0,0-10,0,0,0.69,-1
0.4,28.0,0-10,0,0,0.69,-1
0.41,29.0,0-10,0,0,0.69,-1
0.42,30.0,0-10,0,0,0.69,-1
0.43,31.0,0-10,0,0,0.69,-1
0.44,32.0,0-10,0,0,0.69,-1
0.45,33.0,0-10,0,0,0.69,-1
0.46,34.0,0-10,0,0,0.69,-1
0.47,35.0,0-10,0,0,0.69,-1
0.48,36.0,0-10,0,0,0.69,-1
0.49,37.0,0-10,0,0,0.69,-1
0.5,38.0,0-10,0,0,0.69,-1
0.51,39.0,0-10,0,0,0.69,-1
0.52,40.0,0-10,0,0,0.69,-1
0.53,41.0,0-10,0,0,0.69,-1
0.54,42.0,0-10,0,0,0.69,-1
0.55,43.0,0-10,0,0,0.69,-1
0.56,44.0,0-10,0,0,0.69,-1
0.57,45.0,0-10,0,0,0.69,-1
0.58,46.0,0-10,0,0,0.69,-1
0.59,47.0,0-10,0,0,0.69,-1
